*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
Citygreen,,,,,,,,,,2253.0,,01/07/2021,01/07/2021,,,Indoor plants maintenance,1,65,,61107.0,GST on Expenses,6.5,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,2254.0,,01/07/2021,01/07/2021,,,Monthly back up,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
Office Works,,,,,,,,,,2259.0,,01/07/2021,01/07/2021,,,Stationary,1,106.34,,61301.0,GST on Expenses,10.63,Job,,,,,
Tyssen Design,,,,,,,,,,2262.0,,01/07/2021,01/07/2021,,,Website maintenance,1,150.41,,61003.0,GST on Expenses,15.04,Job,,,,,
Brisbane City Council- Rates,,,,,,,,,,2269.0,,01/07/2021,01/07/2021,,,July- September 2021 rates,1,"1,060.1",,61104.0,BAS Excluded,0.00,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2270.0,,01/07/2021,01/07/2021,,,12 months monthly registration 121BD6,1,728.23,,62004.0,GST on Expenses,72.82,Job,,,,,
Brisbane City Council- Rates,,,,,,,,,,2280.0,,01/07/2021,01/07/2021,,,Rates GTCC from 01-07-2021 to 30-09-2021,1,690.05,,62617.0,BAS Excluded,0.00,Job,,,,,
Better Online ,,,,,,,,,,2324.0,,01/07/2021,01/07/2021,,,"Cloud online monthly services. (Invoice dated 15-06-2021) by the time I got the invoice, the June GST was already reported. ",1,257.4,,61001.0,GST on Expenses,25.74,Job,,,,,
Manly Boathouse Restaurant & Bar,,,,,,,,,,2325.0,,01/07/2021,01/07/2021,,,Mid year lunch for employees,1,"1,001.36",,61801.0,GST on Expenses,100.14,Job,,,,,
Manly Boathouse Restaurant & Bar,,,,,,,,,,2325.0,,01/07/2021,01/07/2021,,,Credit Card surcharge,1,18.17,,61801.0,BAS Excluded,0.00,Job,,,,,
Motorpass,,,,,,,,,,4080.0,,01/07/2021,01/07/2021,,,Fuel all cars from 1 March to 31  March 2024,1,"3,647.41",,62001.0,GST on Expenses,364.74,Job,,,,,
Workcover Queensland,,,,,,,,,,2255.0,,02/07/2021,02/07/2021,,,Workcover premium 2021-2022,1,"4,657.25",,61402.0,GST on Expenses,465.73,Job,,,,,
Workcover Queensland,,,,,,,,,,2255.0,,02/07/2021,02/07/2021,,,Stamp duty workcover,1,256.15,,61402.0,BAS Excluded,0.00,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2273.0,,05/07/2021,05/07/2021,,,Shippping pendulum on 10-06-2021,1,617.36,,60027.0,BAS Excluded,0.00,Job,,,,,
Garden Express,,,,,,,,,,2271.0,,07/07/2021,07/07/2021,,,Outdoor plant maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
National Storage- Bohle,,,,,,,,,,2272.0,,07/07/2021,07/07/2021,,,Townsville storage 6 months rental,1,256.36,,61615.0,GST on Expenses,25.64,Job,,,,,
Australia Securities & Investment Commission,,,,,,,,,,2276.0,,07/07/2021,07/07/2021,,,ASIC Annual renewal,1,248.18,,60012.0,GST on Expenses,24.82,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,2278.0,,07/07/2021,07/07/2021,,,MYOB monthly subscription,1,425.75,,60017.0,GST on Expenses,42.58,Job,,,,,
PricewaterhouseCoopers (PWC),,,,,,,,,,2282.0,,07/07/2021,07/07/2021,,,Auditor training course,1,"1,359.09",,61804.0,GST on Expenses,135.91,Job,,,,,
Origin Energy,,,,,,,,,,2286.0,,07/07/2021,07/07/2021,,,Lota electricity bill,1,172.46,,61103.0,GST on Expenses,17.25,Job,,,,,
Beakon Pty Ltd,,,,,,,,,,2283.0,,08/07/2021,08/07/2021,,,License fee for undertaking work as a contractor for Brisbane Airport,1,195.45,,60012.0,GST on Expenses,19.55,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,2275.0,,09/07/2021,09/07/2021,,,Endorsement/alteration advice for the correction & additional equipment as requested.,1,941.47,,61401.0,GST on Expenses,94.15,Job,,,,,
Xero Australia Pty Ltd,,,,,,,,,,2277.0,,10/07/2021,10/07/2021,,,Xero monthly subscription for GTCC,1,24.55,,62623.0,GST on Expenses,2.45,Job,,,,,
Seek Limited,,,,,,,,,,2279.0,,12/07/2021,12/07/2021,,,Technician advertisement position,1,750,,60018.0,GST on Expenses,75,Job,,,,,
LMM Holdings Pty Ltd,,,,,,,,,,2281.0,,12/07/2021,12/07/2021,,,Car service 121 DB6,1,177.27,,62005.0,GST on Expenses,17.73,Job,,,,,
LMM Holdings Pty Ltd,,,,,,,,,,2281.0,,12/07/2021,12/07/2021,,,Bank surcharge,1,3.22,,62005.0,BAS Excluded,0.00,Job,,,,,
Bartons Motors PTY LTD,,,,,,,,,,2284.0,,12/07/2021,12/07/2021,,,Car service 75.000 kms ,1,449.09,,62005.0,GST on Expenses,44.91,Job,,,,,
Sullivan and Nicolaides ,,,,,,,,,,2285.0,,13/07/2021,13/07/2021,,,COVID test for Mick to travel to New Zealand,1,131.82,,61515.0,GST on Expenses,13.18,Job,,,,,
Bridgestone Select,,,,,,,,,,2287.0,,15/07/2021,15/07/2021,,,2 tyres for 589 YSF,1,551.82,,62005.0,GST on Expenses,55.18,Job,,,,,
Rapid Global,,,,,,,,,,2288.0,,16/07/2021,16/07/2021,,,Buying Mirvac credits for induction Sam Brunton at Kawana Shopping world. (Reimbursed to Natalie Cameron),1,20,,60101.0,GST on Expenses,2,Job,,,,,
Office Works,,,,,,,,,,2290.0,,16/07/2021,16/07/2021,,,Stationary for ISTS,1,104.91,,61301.0,GST on Expenses,10.49,Job,,,,,
Garden Express,,,,,,,,,,2291.0,,19/07/2021,19/07/2021,,,Backyard maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
The Body Corporate for The Workstores Wakerley,,,,,,,,,,2297.0,,20/07/2021,20/07/2021,,,Body Corporate fee for Walton Global,1,"1,123.33",,62610.0,BAS Excluded,0.00,Job,,,,,
Motorpass,,,,,,,,,,2295.0,,22/07/2021,22/07/2021,,,Fuel all cars 23-06-2021 to 22-07-2021,1,"2,553.46",,62001.0,GST on Expenses,255.35,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2296.0,,27/07/2021,27/07/2021,,,12 months vehicle registration 099ZYW (Jimni),1,728.23,,62004.0,GST on Expenses,72.82,Job,,,,,
Bartons Motors PTY LTD,,,,,,,,,,2298.0,,27/07/2021,27/07/2021,,,Car service at 75.000kms 215XRP,1,500,,62005.0,GST on Expenses,50,Job,,,,,
Big Blue Self Storage,,,,,,,,,,2299.0,,27/07/2021,27/07/2021,,,Storage box 6 months in Cairns original value $540. $27 discount,1,466.36,,61606.0,GST on Expenses,46.64,Job,,,,,
Big Blue Self Storage,,,,,,,,,,2299.0,,27/07/2021,27/07/2021,,,.,1,0.00,,61606.0,BAS Excluded,0.00,Job,,,,,
Woolworths,,,,,,,,,,2302.0,,29/07/2021,29/07/2021,,,Office supplies  for the training central,1,13.64,,62612.0,GST on Expenses,1.36,Job,,,,,
Woolworths,,,,,,,,,,2303.0,,29/07/2021,29/07/2021,,,Office supplies Lota,1,34.36,,61304.0,GST on Expenses,3.44,Job,,,,,
Bridgestone Select,,,,,,,,,,2305.0,,29/07/2021,29/07/2021,,,2 new tyres for 215XRP,1,553.64,,62005.0,GST on Expenses,55.36,Job,,,,,
BizFurn Express Australia,,,,,,,,,,2309.0,,30/07/2021,30/07/2021,,,Adjustable desk for Carl station,1,491.82,,60014.0,GST on Expenses,49.18,Job,,,,,
Gadgets 4 Geeks Pty Ltd,,,,,,,,,,2310.0,,30/07/2021,30/07/2021,,,USB Charging station and stand for phones at Lota ,1,61.73,,61007.0,GST on Expenses,6.17,Job,,,,,
Scrubs Detailing Pty Ltd,,,,,,,,,,2311.0,,30/07/2021,30/07/2021,,,Car detailing 215 XRP and 589 YSF,1,327.2,,62005.0,GST on Expenses,32.72,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2300.0,,31/07/2021,31/07/2021,,,Cleaning at the GTCC in July,1,300,,62622.0,GST on Expenses,30,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2301.0,,31/07/2021,31/07/2021,,,Cleaning at HQ Lota in July,1,"1,057.66",,61107.0,GST on Expenses,105.77,Job,,,,,
Red ICT,,,,,,,,,,2312.0,,31/07/2021,31/07/2021,,,Internet NBN Lota,1,108.18,,61004.0,GST on Expenses,10.82,Job,,,,,
Red ICT,,,,,,,,,,2312.0,,31/07/2021,31/07/2021,,,Internet NBN GTCC,1,99.09,,62614.0,GST on Expenses,9.91,Job,,,,,
Empire Accountants,,,,,,,,,,2318.0,,31/07/2021,31/07/2021,,,Monthly fee agreement financial year 2021-2022,1,"1,220",,60008.0,GST on Expenses,122,Job,,,,,
Empire Accountants,,,,,,,,,,2318.0,,31/07/2021,31/07/2021,,,Surcharge fee from the bank,1,1.2,,60008.0,BAS Excluded,0.00,Job,,,,,
SJK Collective,,,,,,,,,,2319.0,,31/07/2021,31/07/2021,,,Air conditioning annual service,1,263.64,,61101.0,GST on Expenses,26.36,Job,,,,,
RS Components Pty Ltd,,,,,,,,,,2361.0,,31/07/2021,31/07/2021,,,This transaction had to be re entered again as the original one for $171.91 was amended with another invoice that was not provided. By the time 10 items were received from the original 20. MYOB does not allow to amend the transaction because of the items received already.,1,78.14,,61705.0,GST on Expenses,7.81,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,2313.0,,01/08/2021,01/08/2021,,,Monthly online back up,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
Citygreen,,,,,,,,,,2314.0,,01/08/2021,01/08/2021,,,Indoor Plants hire and maintenance,1,65,,61107.0,GST on Expenses,6.5,Job,,,,,
Motorpass,,,,,,,,,,2316.0,,01/08/2021,01/08/2021,,,Fuel all vehicles 20 July 2021 to 31- July 2021. This is a bill with the new Motorpass account,1,"1,118.83",,62001.0,GST on Expenses,111.88,Job,,,,,
Versatex Trading Pty Ltd,,,,,,,,,,2317.0,,02/08/2021,02/08/2021,,,"Slip test machine parts, sand blasting, powder: Interpon Zinc prime, metal details",1,185.29,,61705.0,GST on Expenses,18.53,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,2315.0,,03/08/2021,03/08/2021,,,MYOB monthly subscription,1,259.55,,60017.0,GST on Expenses,25.96,Job,,,,,
Origin Energy,,,,,,,,,,2331.0,,03/08/2021,03/08/2021,,,.,1,141.12,,61103.0,GST on Expenses,14.11,Job,,,,,
Moreton Bay Suzuki,,,,,,,,,,2320.0,,05/08/2021,05/08/2021,,,JImny service 15.000KMS ,1,299.09,,62005.0,GST on Expenses,29.91,Job,,,,,
Bunnings Warehouse,,,,,,,,,,2321.0,,05/08/2021,05/08/2021,,,Testing equipment,1,110.96,,61705.0,GST on Expenses,11.1,Job,,,,,
The Qantas Club Service,,,,,,,,,,2329.0,,09/08/2021,09/08/2021,,,Qantas Club membership Cameron Juillerat,1,490.91,,61508.0,GST on Expenses,49.09,Job,,,,,
Xero Australia Pty Ltd,,,,,,,,,,2336.0,,10/08/2021,10/08/2021,,,Xero monthly subscription,1,24.55,,62623.0,GST on Expenses,2.45,Job,,,,,
RACQ Operations Pty Ltd,,,,,,,,,,2363.0,,14/08/2021,14/08/2021,,,"Roadside assistance for the following vehicles 861 BK7, 728WLM, 215XRP, 589YSF, 156XIB, 559ZDV, 448BG4, 405XQC. Invoice not provided by Mick as he said that everything was direct debit over the phone",1,189.09,,62004.0,GST on Expenses,18.91,Job,,,,,
Better Online ,,,,,,,,,,2334.0,,15/08/2021,15/08/2021,,,Monthly cloud subscription,1,257.4,,61001.0,GST on Expenses,25.74,Job,,,,,
Urban Utilities,,,,,,,,,,2332.0,,18/08/2021,18/08/2021,,,Walton Global water and sewerage,1,188.63,,62619.0,BAS Excluded,0.00,Job,,,,,
Urban Utilities,,,,,,,,,,2332.0,,18/08/2021,18/08/2021,,,Surcharge balance paid by credit card on 06-11-2021,1,.29,,62619.0,BAS Excluded,0.00,Job,,,,,
Garden Express,,,,,,,,,,2333.0,,19/08/2021,19/08/2021,,,Backyard maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
Australia Post,,,,,,,,,,2340.0,,19/08/2021,19/08/2021,,,Envelopes to send the reports from NSW to Brisbane,1,54.82,,61301.0,GST on Expenses,5.48,Job,,,,,
GoTrain Industry Pty Ltd,,,,,,,,,,2365.0,,19/08/2021,19/08/2021,,,QR SARC Induction for Jack,1,218.18,,61804.0,GST on Expenses,21.82,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2335.0,,20/08/2021,20/08/2021,,,Car registration 12 months 448BG4,1,923.91,,62004.0,GST on Expenses,92.39,Job,,,,,
Garden Express,,,,,,,,,,2339.0,,20/08/2021,20/08/2021,,,Backyard maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
Daxon Fabrication,,,,,,,,,,2341.0,,24/08/2021,24/08/2021,,,Pendulum repairs,1,148.75,,61701.0,GST on Expenses,14.88,Job,,,,,
TNT Express,,,,,,,,,,2348.0,,28/08/2021,28/08/2021,,,Sending tortus to Millennium WA,1,173.34,,60027.0,GST on Expenses,17.33,Job,,,,,
National Storage- Coconut Grove,,,,,,,,,,2344.0,,31/08/2021,31/08/2021,,,6 months rental storage NT,1,343.64,,61613.0,GST on Expenses,34.36,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2345.0,,31/08/2021,31/08/2021,,,Cleaning August 2021 in Lota,1,940.15,,61107.0,GST on Expenses,94.01,Job,,,,,
Empire Accountants,,,,,,,,,,2346.0,,31/08/2021,31/08/2021,,,Monthly fee agreement financial year 2021-2022,1,"1,220",,60008.0,GST on Expenses,122,Job,,,,,
Empire Accountants,,,,,,,,,,2346.0,,31/08/2021,31/08/2021,,,Surcharge from the bank,1,1.2,,60008.0,BAS Excluded,0.00,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2350.0,,31/08/2021,31/08/2021,,,Cleaning at the training centre,1,200,,62622.0,GST on Expenses,20,Job,,,,,
Red ICT,,,,,,,,,,2352.0,,31/08/2021,31/08/2021,,,Internet Lota,1,108.18,,61004.0,GST on Expenses,10.82,Job,,,,,
Red ICT,,,,,,,,,,2352.0,,31/08/2021,31/08/2021,,,Internet GTCC,1,99.09,,62614.0,GST on Expenses,9.91,Job,,,,,
Scrubs Detailing Pty Ltd,,,,,,,,,,2360.0,,31/08/2021,31/08/2021,,,Car detailing 156XIB and 878ZVZ,1,327.2,,62005.0,GST on Expenses,32.72,Job,,,,,
Red ICT,,,,,,,,,,2602.0,,31/08/2021,31/08/2021,,,Internet Lota,1,108.18,,61004.0,GST on Expenses,10.82,Job,,,,,
Red ICT,,,,,,,,,,2602.0,,31/08/2021,31/08/2021,,,Internet GTCC,1,99.09,,62614.0,GST on Expenses,9.91,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2603.0,,31/08/2021,31/08/2021,,,Shipping pendulum invoice #0003229,1,873.64,,60027.0,BAS Excluded,0.00,Job,,,,,
Citygreen,,,,,,,,,,2347.0,,01/09/2021,01/09/2021,,,Indoor maintenance plants,1,65,,61107.0,GST on Expenses,6.5,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,2349.0,,01/09/2021,01/09/2021,,,Monthly back up ,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
Brisbane City Council- Rates,,,,,,,,,,2351.0,,01/09/2021,01/09/2021,,,Brisbane Rates,1,"1,060.1",,61104.0,BAS Excluded,0.00,Job,,,,,
Motorpass,,,,,,,,,,2372.0,,01/09/2021,01/09/2021,,,Fuel all cars from 1 August to 31 August,1,"2,748.15",,62001.0,GST on Expenses,274.81,Job,,,,,
Seek Limited,,,,,,,,,,2354.0,,02/09/2021,02/09/2021,,,Adversing for new testing technician position,1,750,,60018.0,GST on Expenses,75,Job,,,,,
Origin Energy,,,,,,,,,,2358.0,,02/09/2021,02/09/2021,,,Electricity bill in Lota,1,144.54,,61103.0,GST on Expenses,14.45,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,2353.0,,03/09/2021,03/09/2021,,,MYOB monthly subscription,1,245.37,,60017.0,GST on Expenses,24.54,Job,,,,,
TNT Express,,,,,,,,,,2359.0,,04/09/2021,04/09/2021,,,Shipping pendulum to Acousto in South Hursville NSW,1,191.01,,60027.0,GST on Expenses,19.1,Job,,,,,
Urban Utilities,,,,,,,,,,2357.0,,06/09/2021,06/09/2021,,,Water and sewerage Lota,1,327.8,,61105.0,BAS Excluded,0.00,Job,,,,,
GoTrain Industry Pty Ltd,,,,,,,,,,2362.0,,08/09/2021,08/09/2021,,,Training for Ben,1,218.18,,61804.0,GST on Expenses,21.82,Job,,,,,
GoTrain Industry Pty Ltd,,,,,,,,,,2375.0,,08/09/2021,08/09/2021,,,Joel SARC training,1,218.18,,61804.0,GST on Expenses,21.82,Job,,,,,
Xero Australia Pty Ltd,,,,,,,,,,2366.0,,10/09/2021,10/09/2021,,,Xero monthly subscription Walton Global,1,24.55,,62623.0,GST on Expenses,2.45,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2367.0,,10/09/2021,10/09/2021,,,Shipping pendulum and calibration rig 26/08/2021,1,753.55,,60027.0,BAS Excluded,0.00,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2368.0,,10/09/2021,10/09/2021,,,Motor vehicle registration 589YSF,1,925.91,,62004.0,GST on Expenses,92.59,Job,,,,,
Odyssey Training,,,,,,,,,,2370.0,,14/09/2021,14/09/2021,,,"Training customer services -exceeding expectations for Joel, Matthew, Monica, Jack and Natalie",1,"2,400",,61804.0,GST on Expenses,240,Job,,,,,
Better Online ,,,,,,,,,,2369.0,,15/09/2021,15/09/2021,,,Monthly online back up cloud,1,258,,61001.0,GST on Expenses,25.8,Job,,,,,
Australia Wide First Aid,,,,,,,,,,2371.0,,15/09/2021,15/09/2021,,,First aid training and CPR for Jack Le Prou and Natalie  Cameron,1,136.36,,61804.0,GST on Expenses,13.64,Job,,,,,
Vistaprint Australia,,,,,,,,,,2376.0,,16/09/2021,16/09/2021,,,Marketing pens,1,16.78,,60018.0,GST on Expenses,1.68,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2390.0,,16/09/2021,16/09/2021,,,Invoice fro shipping pendulum 16-09-201,1,651.86,,60027.0,BAS Excluded,0.00,Job,,,,,
Supercheap Auto,,,,,,,,,,2401.0,,19/09/2021,19/09/2021,,,Windscreen wipers 448BG4,1,62.71,,62005.0,GST on Expenses,6.27,Job,,,,,
Australia Post,,,,,,,,,,2381.0,,20/09/2021,20/09/2021,,,Posting reports done by Mick in BSW to Brisbane,1,55.36,,61301.0,GST on Expenses,5.54,Job,,,,,
Garden Express,,,,,,,,,,2377.0,,21/09/2021,21/09/2021,,,Backyard maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
Bunnings Warehouse,,,,,,,,,,2380.0,,21/09/2021,21/09/2021,,,Tools bought in NSW,1,149.25,,61704.0,GST on Expenses,14.93,Job,,,,,
App Gurus/Cloud Downunder Pty Ltd,,,,,,,,,,2386.0,,21/09/2021,21/09/2021,,,ISTS application updated ,1,"4,800",,61005.0,GST on Expenses,480,Job,,,,,
Bunnings Warehouse,,,,,,,,,,2399.0,,27/09/2021,27/09/2021,,,testing equipment,1,18.19,,61705.0,GST on Expenses,1.82,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2379.0,,28/09/2021,28/09/2021,,,Vehicle registration renewal notice - 861BK7,1,925.91,,62004.0,GST on Expenses,92.59,Job,,,,,
GoTrain Industry Pty Ltd,,,,,,,,,,2384.0,,30/09/2021,30/09/2021,,,SARC course for Carl Kleinhaus,1,218.18,,61804.0,GST on Expenses,21.82,Job,,,,,
Red ICT,,,,,,,,,,2388.0,,30/09/2021,30/09/2021,,,Internet ISTS,1,108.18,,61004.0,GST on Expenses,10.82,Job,,,,,
Red ICT,,,,,,,,,,2388.0,,30/09/2021,30/09/2021,,,Internet Walton Global,1,99.09,,62614.0,GST on Expenses,9.91,Job,,,,,
National Association of Testing Authorities,,,,,,,,,,2389.0,,30/09/2021,30/09/2021,,,ISTS Global calibration and training centre,1,567,,60012.0,GST on Expenses,56.7,Job,,,,,
Empire Accountants,,,,,,,,,,2391.0,,30/09/2021,30/09/2021,,,Monthly fee agreement financial year 2021-2022,1,"1,220",,60008.0,GST on Expenses,122,Job,,,,,
Empire Accountants,,,,,,,,,,2391.0,,30/09/2021,30/09/2021,,,Surcharge fee,1,1.2,,60008.0,BAS Excluded,0.00,Job,,,,,
Scrubs Detailing Pty Ltd,,,,,,,,,,2396.0,,30/09/2021,30/09/2021,,,car detailing for Jimny and 589 YSF,1,327.2,,62005.0,GST on Expenses,32.72,Job,,,,,
GoTrain Industry Pty Ltd,,,,,,,,,,2397.0,,30/09/2021,30/09/2021,,,Induction training for Matthew Logan,1,218.18,,61804.0,GST on Expenses,21.82,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2403.0,,30/09/2021,30/09/2021,,,Cleaning at Lota September 2021,1,"1,057.66",,61107.0,GST on Expenses,105.77,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2404.0,,30/09/2021,30/09/2021,,,Cleaning at Walton Global in  September 2021,1,208,,62622.0,GST on Expenses,20.8,Job,,,,,
Citygreen,,,,,,,,,,2383.0,,01/10/2021,01/10/2021,,,Indoor gardening maintenance,1,65,,61107.0,GST on Expenses,6.5,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,2387.0,,01/10/2021,01/10/2021,,,Monthly back up,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
Motorpass,,,,,,,,,,2392.0,,01/10/2021,01/10/2021,,,Fuel all vehicles 01-09-2021 to 30-09-2021,1,"2,504.04",,62001.0,GST on Expenses,250.4,Job,,,,,
Australia Government,,,,,,,,,,2407.0,,01/10/2021,01/10/2021,,,Trade mark renewal (invoice dated 18-09-2021) by 08-10-2021 GST had been reported already.,1,363.64,,60012.0,GST on Expenses,36.36,Job,,,,,
United,,,,,,,,,,2430.0,,01/10/2021,01/10/2021,,,Fuel 448 BG4,1,14.89,,62001.0,GST on Expenses,1.49,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,2400.0,,04/10/2021,04/10/2021,,,MYOB monthly subscription,1,198.49,,60017.0,GST on Expenses,19.85,Job,,,,,
Origin Energy,,,,,,,,,,2405.0,,04/10/2021,04/10/2021,,,Electricity bill in Lota,1,123.43,,61103.0,GST on Expenses,12.34,Job,,,,,
Seek Limited,,,,,,,,,,2406.0,,07/10/2021,07/10/2021,,,Advertising new technician position as  result of Jack's resignation,1,750,,60018.0,GST on Expenses,75,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2423.0,,07/10/2021,07/10/2021,,,Shipping cost pendulum 07-10-2021,1,622,,60027.0,BAS Excluded,0.00,Job,,,,,
Seek Limited,,,,,,,,,,2441.0,,07/10/2021,07/10/2021,,,branded ad Budget,1,"1,050",,60018.0,GST on Expenses,105,Job,,,,,
Xero Australia Pty Ltd,,,,,,,,,,2408.0,,10/10/2021,10/10/2021,,,Xero monthly subscription,1,24.55,,62623.0,GST on Expenses,2.45,Job,,,,,
SLH Mowing ,,,,,,,,,,2409.0,,12/10/2021,12/10/2021,,,Backyard maintenance,1,444.6,,61107.0,GST on Expenses,44.46,Job,,,,,
Bartons Motors PTY LTD,,,,,,,,,,2412.0,,13/10/2021,13/10/2021,,,Car service 90.000 kms oil  and breaks checked. ,1,272.72,,62005.0,GST on Expenses,27.27,Job,,,,,
Guardian Storage,,,,,,,,,,2413.0,,14/10/2021,14/10/2021,,,6 months rental unit in Victoria,1,507.82,,61603.0,GST on Expenses,50.78,Job,,,,,
Better Online ,,,,,,,,,,2414.0,,15/10/2021,15/10/2021,,,Monthly online back up cloud,1,258,,61001.0,GST on Expenses,25.8,Job,,,,,
Odyssey Training,,,,,,,,,,2416.0,,20/10/2021,20/10/2021,,,"Customer service exceeding expectations for Ben Yarham, Cameron Juillerat, Carl Kleinhaus, Andy Jacobs, Kelly Wright",1,"2,400",,61804.0,GST on Expenses,240,Job,,,,,
Scrubs Detailing Pty Ltd,,,,,,,,,,2417.0,,20/10/2021,20/10/2021,,,Car detailing 559ZDV,1,184.18,,62005.0,GST on Expenses,18.42,Job,,,,,
Metcash Food and Grocery Convenience Store,,,,,,,,,,2418.0,,20/10/2021,20/10/2021,,,Drinks,1,278.89,,61304.0,GST on Expenses,27.89,Job,,,,,
Harrison Wood Parsons,,,,,,,,,,2420.0,,21/10/2021,21/10/2021,,,Reimbursement for car polishing and detailing to repair panel on vehicle Ford SV6 registration number BE44SA. ( Mick crash in NSW),1,450,,62012.0,BAS Excluded,0.00,Job,,,,,
Dexion Acacia Ridge,,,,,,,,,,2422.0,,22/10/2021,22/10/2021,,,Rack for storage at the GTCC,1,194.4,,62607.0,GST on Expenses,19.44,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2520.0,,26/10/2021,26/10/2021,,,Shipping 2 pendulums ,1,"1,422.72",,60027.0,BAS Excluded,0.00,Job,,,,,
SLH Mowing ,,,,,,,,,,2425.0,,27/10/2021,27/10/2021,,,Backyard maintenance.,1,106.82,,61107.0,GST on Expenses,10.68,Job,,,,,
Scrubs Detailing Pty Ltd,,,,,,,,,,2426.0,,28/10/2021,28/10/2021,,,Car detailing 408XQC and 861BK7,1,323,,62005.0,GST on Expenses,32.3,Job,,,,,
National Association of Testing Authorities,,,,,,,,,,2427.0,,28/10/2021,28/10/2021,,,Annual review follow up,1,126,,60012.0,GST on Expenses,12.6,Job,,,,,
Empire Accountants,,,,,,,,,,2436.0,,30/10/2021,30/10/2021,,,Monthly fee agreement financial year 2021-2022,1,"1,220",,60008.0,GST on Expenses,122,Job,,,,,
Empire Accountants,,,,,,,,,,2436.0,,30/10/2021,30/10/2021,,,Surcharge fee ,1,1.2,,60008.0,BAS Excluded,0.00,Job,,,,,
TNT Express,,,,,,,,,,2439.0,,30/10/2021,30/10/2021,,,Shipping charge for pendulum sent to QED in WA,1,224.37,,60027.0,GST on Expenses,22.44,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2428.0,,31/10/2021,31/10/2021,,,October cleaning at Lota,1,"1,057.66",,61107.0,GST on Expenses,105.77,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,2429.0,,31/10/2021,31/10/2021,,,October cleaning in October,1,208,,62622.0,GST on Expenses,20.8,Job,,,,,
Webcentral Group Limited,,,,,,,,,,2431.0,,31/10/2021,31/10/2021,,,Webhosting 1 year renewal,1,199.5,,61003.0,GST on Expenses,19.95,Job,,,,,
Red ICT,,,,,,,,,,2447.0,,31/10/2021,31/10/2021,,,Internet Lota,1,108.18,,61004.0,GST on Expenses,10.82,Job,,,,,
Red ICT,,,,,,,,,,2447.0,,31/10/2021,31/10/2021,,,Internet GTCC,1,99.09,,62614.0,GST on Expenses,9.91,Job,,,,,
Citygreen,,,,,,,,,,2432.0,,01/11/2021,01/11/2021,,,Indoor plant maintenance,1,65,,61107.0,GST on Expenses,6.5,Job,,,,,
Office Works,,,,,,,,,,2434.0,,01/11/2021,01/11/2021,,,Stationary,1,128.05,,61301.0,GST on Expenses,12.8,Job,,,,,
Motorpass,,,,,,,,,,2437.0,,01/11/2021,01/11/2021,,,October's fuel all vehicles,1,"2,779.51",,62001.0,GST on Expenses,277.95,Job,,,,,
